tipo,tipo_eje,porcentaje
Hoteles y restaurantes,Hoteles y rest.,"-0,2310343574"
Enseñanza,Enseñanza,"-0,1170782458"
"Transporte, almacenamiento y comunicación","Transporte, almac. y com.","-0,1050247026"
Servicios sociales y de salud,Serv. sociales y de salud,"-0,09217157936"
Comercio y reparaciones,Comerc. y reparaciones,"-0,08504709351"
"Actividades inmobiliarias, empresariales y de alquiler","Act. inmob., empresar. y de alq.","-0,0760666468"
Construcción,Construcción,"-0,07171042806"
Industrias manufactureras,Ind. manufactureras,"-0,06516252569"
"Suministro de electricidad,gas y agua","Suministro de elec., gas y agua","-0,01787684317"
Intermediación financiera,Intermed. financiera,"-0,002028288388"
"Agricultura, ganaderÍa,caza y silvicultura","Agric., ganad., caza y silvicultura","0,006278602941"
Explotación de minas y canteras,Explot. de minas y canteras,"0,05259360954"
