Pais,Perdida_Hombres,Perdida_Mujeres
Perú***,"-0,1437547949","-0,215458125"
Costa Rica,"-0,07351612131","-0,1366484848"
Chile,"-0,07648191019","-0,1343257392"
Barbados,"-0,03949447077","-0,09265175719"
Brasil,"-0,0633604566","-0,08144000396"
Total,"-0,06827387693","-0,09312178813"
Colombia,"-0,04414003044","-0,07049402211"
Jamaica,"-0,04939881211","-0,06945404285"
Rep. Dominicana,"-0,0232456328","-0,06788156707"
México**,"-0,01995060242","-0,05810044301"
Argentina,"-0,03598346256","-0,05246765545"
Uruguay,"-0,007997601493","-0,03078605266"
Nicaragua,"-0,01481443326","-0,03029535576"
Ecuador,"-0,005011642501","-0,01855130275"
Paraguay,"0,04212010996","0,03779743795"
Bolivia*,"0,04531603973","0,0827598669"
