Fecha,Hombres,Mujeres
feb-20,0,0
mar-20,"-1351218,989","-638550,5244"
abr-20,"-11675454,57","-9031053,781"
may-20,"-12578363,77","-9077775,602"
jun-20,"-17056795,84","-14590016,78"
jul-20,"-14439402,96","-15624102,65"
ago-20,"-12796434,5","-14028454,18"
sept-20,"-11386548,47","-12274504,17"
oct-20,"-9414023,146","-10797563,12"
nov-20,"-9154676,086","-10322214,15"
dic-20,"-6505501,764","-7205022,49"
ene-21,"-7269451,893","-8469816,516"
feb-21,"-6174957,882","-7756951,391"
mar-21,"-6271141,655","-7566452,773"
