Fecha,Empleo_Total,Empleo_Formal,Empleo_Informal
feb-20,0,0,0
mar-20,"-0,01527825497","-0,007632647663","-0,02140765969"
abr-20,"-0,112221828","-0,04207792261","-0,1684554752"
may-20,"-0,1310751462","-0,06669826302","-0,1826854311"
jun-20,"-0,1415710609","-0,08189921928","-0,1894093624"
jul-20,"-0,1395652973","-0,08866417856","-0,1803722004"
ago-20,"-0,12684312","-0,08997481812","-0,1564000583"
sept-20,"-0,1055771073","-0,08671891263","-0,120695528"
oct-20,"-0,08202730437","-0,07512668352","-0,0875594611"
nov-20,"-0,07381599198","-0,06719312294","-0,07912547794"
dic-20,"-0,06232057956","-0,06863550207","-0,05725797116"
ene-21,"-0,07218134244","-0,07154979153","-0,07268765031"
feb-21,"-0,06485590206","-0,06599245007","-0,06394474323"
mar-21,"-0,06359836542","-0,0640075128","-0,06327035618"
